instance,n,W,V,method,profit,time,nodes
inst_N10_W100_V300_5.txt,10,100,300,dynamicProg,390,0.028852,N/A
inst_N10_W100_V300_5.txt,10,100,300,backtracking,390,0.000186,1765
inst_N10_W100_V300_5.txt,10,100,300,branchBound,390,0.000014,N/A
inst_N10_W100_V300_6.txt,10,100,300,dynamicProg,485,0.028241,N/A
inst_N10_W100_V300_6.txt,10,100,300,backtracking,485,0.000197,1699
inst_N10_W100_V300_6.txt,10,100,300,branchBound,485,0.000007,N/A
inst_N10_W100_V300_7.txt,10,100,300,dynamicProg,376,0.031533,N/A
inst_N10_W100_V300_7.txt,10,100,300,backtracking,376,0.000277,1559
inst_N10_W100_V300_7.txt,10,100,300,branchBound,376,0.000011,N/A
inst_N10_W100_V300_8.txt,10,100,300,dynamicProg,412,0.029277,N/A
inst_N10_W100_V300_8.txt,10,100,300,backtracking,412,0.000353,1629
inst_N10_W100_V300_8.txt,10,100,300,branchBound,412,0.000027,N/A
inst_N10_W100_V300_9.txt,10,100,300,dynamicProg,287,0.028156,N/A
inst_N10_W100_V300_9.txt,10,100,300,backtracking,287,0.000168,1373
inst_N10_W100_V300_9.txt,10,100,300,branchBound,287,0.000017,N/A
inst_N10_W100_V350_0.txt,10,100,350,dynamicProg,426,0.030415,N/A
inst_N10_W100_V350_0.txt,10,100,350,backtracking,426,0.000170,1567
inst_N10_W100_V350_0.txt,10,100,350,branchBound,426,0.000009,N/A
inst_N10_W100_V350_1.txt,10,100,350,dynamicProg,279,0.028588,N/A
inst_N10_W100_V350_1.txt,10,100,350,backtracking,279,0.000183,1345
inst_N10_W100_V350_1.txt,10,100,350,branchBound,270,0.000003,N/A
inst_N10_W100_V350_2.txt,10,100,350,dynamicProg,400,0.034910,N/A
inst_N10_W100_V350_2.txt,10,100,350,backtracking,400,0.000179,1479
inst_N10_W100_V350_2.txt,10,100,350,branchBound,400,0.000011,N/A
inst_N10_W100_V350_3.txt,10,100,350,dynamicProg,292,0.024116,N/A
inst_N10_W100_V350_3.txt,10,100,350,backtracking,292,0.000147,1229
inst_N10_W100_V350_3.txt,10,100,350,branchBound,292,0.000016,N/A
inst_N10_W100_V350_4.txt,10,100,350,dynamicProg,427,0.026636,N/A
inst_N10_W100_V350_4.txt,10,100,350,backtracking,427,0.000163,1353
inst_N10_W100_V350_4.txt,10,100,350,branchBound,427,0.000014,N/A
inst_N10_W100_V350_5.txt,10,100,350,dynamicProg,322,0.031378,N/A
inst_N10_W100_V350_5.txt,10,100,350,backtracking,322,0.000249,1599
inst_N10_W100_V350_5.txt,10,100,350,branchBound,317,0.000003,N/A
inst_N10_W100_V350_6.txt,10,100,350,dynamicProg,475,0.038046,N/A
inst_N10_W100_V350_6.txt,10,100,350,backtracking,475,0.000217,1923
inst_N10_W100_V350_6.txt,10,100,350,branchBound,472,0.000003,N/A
inst_N10_W100_V350_7.txt,10,100,350,dynamicProg,355,0.034746,N/A
inst_N10_W100_V350_7.txt,10,100,350,backtracking,355,0.000177,1657
inst_N10_W100_V350_7.txt,10,100,350,branchBound,328,0.000003,N/A
inst_N10_W100_V350_8.txt,10,100,350,dynamicProg,457,0.037738,N/A
inst_N10_W100_V350_8.txt,10,100,350,backtracking,457,0.000191,1947
inst_N10_W100_V350_8.txt,10,100,350,branchBound,457,0.000012,N/A
inst_N10_W100_V350_9.txt,10,100,350,dynamicProg,425,0.029966,N/A
inst_N10_W100_V350_9.txt,10,100,350,backtracking,425,0.000167,1441
inst_N10_W100_V350_9.txt,10,100,350,branchBound,425,0.000006,N/A
inst_N10_W100_V400_0.txt,10,100,400,dynamicProg,377,0.033593,N/A
inst_N10_W100_V400_0.txt,10,100,400,backtracking,377,0.000315,1623
inst_N10_W100_V400_0.txt,10,100,400,branchBound,369,0.000004,N/A
inst_N10_W100_V400_1.txt,10,100,400,dynamicProg,372,0.037237,N/A
inst_N10_W100_V400_1.txt,10,100,400,backtracking,372,0.000199,1611
inst_N10_W100_V400_1.txt,10,100,400,branchBound,372,0.000008,N/A
inst_N10_W100_V400_2.txt,10,100,400,dynamicProg,428,0.044702,N/A
inst_N10_W100_V400_2.txt,10,100,400,backtracking,428,0.000219,1803
inst_N10_W100_V400_2.txt,10,100,400,branchBound,428,0.000012,N/A
inst_N10_W100_V400_3.txt,10,100,400,dynamicProg,485,0.035872,N/A
inst_N10_W100_V400_3.txt,10,100,400,backtracking,485,0.000401,1879
inst_N10_W100_V400_3.txt,10,100,400,branchBound,485,0.000009,N/A
inst_N10_W100_V400_4.txt,10,100,400,dynamicProg,293,0.030490,N/A
inst_N10_W100_V400_4.txt,10,100,400,backtracking,293,0.000134,1157
inst_N10_W100_V400_4.txt,10,100,400,branchBound,293,0.000004,N/A
inst_N10_W100_V400_5.txt,10,100,400,dynamicProg,515,0.040157,N/A
inst_N10_W100_V400_5.txt,10,100,400,backtracking,515,0.000200,1663
inst_N10_W100_V400_5.txt,10,100,400,branchBound,515,0.000005,N/A
inst_N10_W100_V400_6.txt,10,100,400,dynamicProg,464,0.039527,N/A
inst_N10_W100_V400_6.txt,10,100,400,backtracking,464,0.000203,1865
inst_N10_W100_V400_6.txt,10,100,400,branchBound,464,0.000011,N/A
inst_N10_W100_V400_7.txt,10,100,400,dynamicProg,389,0.033343,N/A
inst_N10_W100_V400_7.txt,10,100,400,backtracking,389,0.000226,1455
inst_N10_W100_V400_7.txt,10,100,400,branchBound,389,0.000011,N/A
inst_N10_W100_V400_8.txt,10,100,400,dynamicProg,277,0.034070,N/A
inst_N10_W100_V400_8.txt,10,100,400,backtracking,277,0.000164,1485
inst_N10_W100_V400_8.txt,10,100,400,branchBound,277,0.000004,N/A
inst_N10_W100_V400_9.txt,10,100,400,dynamicProg,391,0.033808,N/A
inst_N10_W100_V400_9.txt,10,100,400,backtracking,391,0.000267,1637
inst_N10_W100_V400_9.txt,10,100,400,branchBound,391,0.000009,N/A
inst_N10_W100_V450_0.txt,10,100,450,dynamicProg,463,0.034466,N/A
inst_N10_W100_V450_0.txt,10,100,450,backtracking,463,0.000238,1667
inst_N10_W100_V450_0.txt,10,100,450,branchBound,463,0.000005,N/A
inst_N10_W100_V450_1.txt,10,100,450,dynamicProg,471,0.036025,N/A
inst_N10_W100_V450_1.txt,10,100,450,backtracking,471,0.000243,1567
inst_N10_W100_V450_1.txt,10,100,450,branchBound,418,0.000004,N/A
inst_N10_W100_V450_2.txt,10,100,450,dynamicProg,270,0.035657,N/A
inst_N10_W100_V450_2.txt,10,100,450,backtracking,270,0.000165,1123
inst_N10_W100_V450_2.txt,10,100,450,branchBound,270,0.000030,N/A
inst_N10_W100_V450_3.txt,10,100,450,dynamicProg,419,0.038237,N/A
inst_N10_W100_V450_3.txt,10,100,450,backtracking,419,0.000223,1603
inst_N10_W100_V450_3.txt,10,100,450,branchBound,419,0.000018,N/A
inst_N10_W100_V450_4.txt,10,100,450,dynamicProg,370,0.033984,N/A
inst_N10_W100_V450_4.txt,10,100,450,backtracking,370,0.000159,1337
inst_N10_W100_V450_4.txt,10,100,450,branchBound,319,0.000003,N/A
inst_N10_W100_V450_5.txt,10,100,450,dynamicProg,252,0.046784,N/A
inst_N10_W100_V450_5.txt,10,100,450,backtracking,252,0.000301,1379
